vehicleID	vehicleX	vehicleY	
veh01	9.5	
veh100	199.5	19
veh101	179.5	17
   veh102	159.5	
   veh103	139.5
veh104	119.5	11
  veh105	99.5		
veh106	79.5	7
veh107	59.5	5
veh108	39.5	3
veh109	209.5	20
veh110	189.5	18   
veh12	19.5	1		
   veh13	69.5	
veh14	49.5	4		
veh15	29.5	2		
     veh16	9.5	
veh17	79.5	
veh111	169.5	16
veh112	149.5	14
veh113	129.5	12
veh114	109.5	10
  veh115	89.5	8
veh116	69.5	6
veh117	49.5	4
 veh118	219.5	21
veh119	199.5	19
veh21	89.5	8
  veh64	9.5	
veh65	159.5	-4.8
veh79	49.5	4
veh80	29.5	2
veh81	9.5	
veh91	189.5	18
veh92	169.5	16
    veh96	89.5	8
veh97	69.5	6
  veh98	49.5	4
veh99	29.5	2
veh120	179.5	17
veh121	159.5	15
veh122	139.5	13
veh123	119.5	11
           veh124	99.5	9
veh125	79.5	7
  veh126	59.5	5
veh127	229.5	22
veh128	209.5	20
veh129	189.5	18
veh130	169.5	16
veh131	149.5	14
veh132	129.5	12
veh133	109.5	10
veh134	89.5	8
veh135	69.5	6
veh136	239.5	23
veh137	219.5	21
veh138	199.5	19
veh139	179.5	17
veh140	159.5	15
veh141	139.5	13
veh142	119.5	11
veh143	99.5	9
veh144	79.5	7
veh145	249.5	24
   veh146	229.5	22
veh147	209.5	20
veh148	189.5	18
veh149	169.5	16
veh150	149.5	14
veh151	129.5	12
veh152	109.5	10
veh153	89.5	8
veh154	259.5	25	
veh155	239.5	23
veh156	219.5	21
veh157	199.5	19
veh158	179.5	17
veh159	159.5	15
veh160	139.5	13
veh161	119.5	11
   veh162	99.5	9
veh163	269.5	26
veh164	249.5	24
veh165	229.5	22
veh166	209.5	20
veh167	189.5	18
veh168	169.5	16
veh169	149.5	14
veh170	129.5	12
veh171	109.5	10
veh172	279.5	27
veh173	259.5	25
veh174	239.5	23
veh175	219.5	21
veh176	199.5	19
veh177	179.5	17
veh178	159.5	15
   veh179	139.5	13
veh180	119.5	11
veh181	289.5	28
veh182	269.5	26
veh183	249.5	24
veh184	229.5	22
veh185	209.5	20
veh186	189.5	18
veh187	169.5	16
   veh188	149.5	14
veh189	129.5	12
veh190	299.5	29
veh191	279.5	27
veh192	259.5	25
veh193	239.5	23
veh194	219.5	21
veh195	199.5	19
veh196	179.5	17
   veh197	159.5	15
veh198	139.5	13
veh199	309.5	30
veh200	289.5	28
veh201	269.5	26
veh202	249.5	24
veh203	229.5	22
veh204	209.5	20
veh205	189.5	18
veh206	169.5	16
veh207	149.5	14
veh208	319.5	31
veh209	299.5	29
veh210	279.5	27
veh211	259.5	25
veh212	239.5	23
veh213	219.5	21
veh214	199.5	19
veh215	179.5	17
veh216	159.5	15
veh217	329.5	32
veh218	309.5	30
veh219	289.5	28
veh220	269.5	26
veh221	249.5	24
veh222	229.5	22
veh223	209.5	20
veh224	189.5	18
veh225	169.5	16
veh226	339.5	33
veh227	319.5	31
veh228	299.5	29
veh229	279.5	27
veh230	259.5	25
veh231	239.5	23
veh232	219.5	21
veh233	199.5	19
veh234	179.5	17
veh235	349.5	34
veh236	329.5	32
veh237	309.5	30
veh238	289.5	28
veh239	269.5	26
veh240	249.5	24
veh241	229.5	22
veh242	209.5	20
veh243	189.5	18
veh244	359.5	35
veh245	339.5	33
veh246	319.5	31
veh247	299.5	29
veh248	279.5	27
veh249	259.5	25
veh250	239.5	23
veh251	219.5	21
veh252	199.5	19
veh253	369.5	36
veh254	349.5	34
veh255	329.5	32
veh256	309.5	30
veh257	289.5	28
veh258	269.5	26
veh259	249.5	24
veh260	229.5	22
veh261	209.5	20
veh262	379.5	37
veh263	359.5	35
veh264	339.5	33
veh265	319.5	31
veh266	299.5	29
veh267	279.5	27
veh268	259.5	25
veh269	239.5	23
veh270	219.5	21
veh271	389.5	38
veh272	369.5	36
veh273	349.5	34
veh274	329.5	32
veh275	309.5	30
veh276	289.5	28
veh277	269.5	26
veh278	249.5	24
veh279	229.5	22
veh280	399.5	39
veh281	379.5	37
veh282	359.5	35
veh283	339.5	33
veh284	319.5	31
veh285	299.5	29
veh286	279.5	27
veh287	259.5	25
veh288	239.5	23
veh289	409.5	40
veh290	389.5	38
veh291	369.5	36
veh292	349.5	34	
veh293	329.5	32
veh294	309.5	30
veh295	289.5	28
veh296	269.5	26
veh297	249.5	24
veh298	9.5		
veh299	419.5	-4.8	
veh300	399.5	-4.8	
